epoch,pr_auc,roc_auc
1,0.10286449702724335,0.4896741038654281
2,0.10407097472524224,0.4792684094608829
3,0.10926851468375884,0.4717673720833732
4,0.10332769576700114,0.4799387149286603
5,0.11661677657025109,0.510740847138434
6,0.15891639262761703,0.5679402470554438
7,0.25364489166959425,0.6339174566695394
8,0.36979792370647113,0.7000223435155926
9,0.4512104500817763,0.760126400459638
10,0.5340305640558703,0.8173896389926266
11,0.5904146292796093,0.8522774426250439
12,0.63174200342727,0.867662549075936
13,0.6574147927251448,0.8761211656931277
14,0.6707695443199997,0.8815155287433368
15,0.6727812039677596,0.8858565546298957
16,0.6727003037718755,0.8880270675731751
17,0.6767432187297134,0.8894953557406876
18,0.6796520189832583,0.8910913211401577
19,0.6845847711434611,0.8935491078553417
20,0.6872476702797913,0.8957196207986211
