epoch,pr_auc,roc_auc
1,0.14380457681616865,0.6330875546618149
2,0.38710806701006845,0.8120910338663858
3,0.5920264684316643,0.8813240128954004
4,0.6451103009240166,0.9064764275910498
5,0.67418284199692,0.9216061795780267
6,0.699693445336485,0.9300647961952184
7,0.7110882410917195,0.9346930958536819
8,0.7259201482673887,0.9389702831242619
9,0.7398245041711694,0.9424494876951066
10,0.7490695126751177,0.9454818219541001
11,0.7590488799057371,0.9480034472852629
12,0.7687610729314858,0.9491844616808708
13,0.7721867326624086,0.9490248651409237
14,0.7739084304254458,0.9487056720610297
15,0.7808553029095386,0.948801429984998
16,0.7815034712009591,0.948801429984998
17,0.7820534748063207,0.9486418334450509
18,0.7815943908475803,0.9476842542053688
19,0.7796813207198818,0.9462798046538351
20,0.7804168659739611,0.9454179833381213
