epoch,pr_auc,roc_auc
1,0.11401920272887517,0.5229978614063647
2,0.11577470537154831,0.528807175460436
3,0.11854563973391653,0.5349356825944014
4,0.12627346107737494,0.554087267388043
5,0.14078351873396733,0.583484950046283
6,0.17744985358580295,0.6240543905008139
7,0.23254134010343896,0.6631874620958218
8,0.2907001930326123,0.6987774905040058
9,0.35501485816604933,0.7351016629959461
10,0.4097275691808257,0.7697341121644482
11,0.47920578683966963,0.8021002904657026
12,0.5302267502423381,0.8300935235724088
13,0.5766491986663432,0.8519582495451498
14,0.5973481257734581,0.867662549075936
15,0.6129823915419128,0.8781320820964602
16,0.624230061677686,0.8849308946982029
17,0.6283647211877882,0.8897187908966133
18,0.6400801402570917,0.8941874940151296
19,0.6549054368124131,0.8976347792779853
20,0.6633428778389749,0.8991988253694659
