epoch,pr_auc,roc_auc
1,0.20591171234942937,0.6405247534233458
2,0.21157101207506912,0.642120718822816
3,0.22744587774366173,0.6497175141242937
4,0.25768122795568293,0.6678476810622745
5,0.3144772335496542,0.6974049602604615
6,0.37725439631757013,0.7314469022311596
7,0.42990535279926917,0.7625522678668326
8,0.4751358085224224,0.7883111494142806
9,0.5186318757471102,0.8116760828625236
10,0.5478217422832863,0.8275399789332567
11,0.568924778585095,0.8404034600529859
12,0.5932085624086966,0.8540649238724504
13,0.6174565983540407,0.8661942609084234
14,0.6321261939966519,0.8757062146892655
15,0.6414852196203237,0.8820262376711673
16,0.6503481718721787,0.888027067573175
17,0.6607912505546938,0.8933575920074053
18,0.6704403688131826,0.8972198282741229
19,0.6770254273178596,0.9003798397650739
20,0.6811419470773464,0.9029972230202049
