epoch,pr_auc,roc_auc
1,0.15934534193997868,0.5906348750359092
2,0.3678015524083028,0.7899390341217403
3,0.5173945063603476,0.8745890389096364
4,0.5970626430760356,0.9052315745794631
5,0.6544020379917996,0.9205528424143765
6,0.6965964139082105,0.9318203581346356
7,0.7123127305050033,0.9371189632608764
8,0.7254007955340481,0.9401512975198697
9,0.736235063885742,0.9416515049953718
10,0.7423706935622761,0.9421941332311915
11,0.7493228268390366,0.9431517124708736
12,0.7488465478586531,0.943024035238916
13,0.7482495345516046,0.9432155510868525
14,0.7503963699538114,0.9426090842350539
15,0.7473885549466704,0.9420664559992339
16,0.7469143273518177,0.9410450381435731
17,0.7401674536863109,0.9394490727441029
18,0.735698471118,0.9383638162724632
19,0.7327308986129434,0.9374062370327811
20,0.7324393388665724,0.9367359315650036
