epoch,pr_auc,roc_auc
1,0.255586536009932,0.6176066902869546
2,0.4946813357917392,0.8023875642376073
3,0.6337467132163631,0.8927192058476172
4,0.6952892946072907,0.919084554246864
5,0.7207434062436529,0.929713683807335
6,0.7324981506828447,0.936767850872993
7,0.7467676552827565,0.9413642312234671
8,0.7526883957914212,0.9429601966229373
9,0.757349215389577,0.9447795971783332
10,0.7615683504706237,0.9462478853458457
11,0.7629146021948855,0.9459606115739411
12,0.7639751699610954,0.9439816144785981
13,0.7672470705050956,0.9435666634747358
14,0.7641861223985597,0.9414599891474352
15,0.7619225484593178,0.9386830093523573
16,0.7583169099050977,0.9365124964090779
17,0.75349304737651,0.9332567269941587
18,0.750532676648541,0.9301286348111972
19,0.7447609327080154,0.9271282198601934
20,0.7385572787585597,0.9240320469852213
